STATE,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,NO_LANES,SP_LIMIT,FATALS,DRUNK_DR,LATITUDE,LONGITUD
1,1,2,23,15,1,1,2,40,1,0,33272102,87010454
1,1,30,13,5,3,4,2,40,2,0,34093815,85404107
1,1,14,12,13,2,5,3,55,1,0,33583258,86294685
1,1,1,15,0,2,2,2,65,1,0,33511173,85545624
1,1,6,19,35,2,5,2,50,1,0,32291980,86243217
1,1,1,4,55,1,2,2,40,1,1,31354977,86135700
1,1,8,6,1,2,2,2,55,1,0,34175758,85555218
1,1,8,15,37,2,2,2,50,1,0,32183619,86221168
1,1,2,16,50,2,7,2,55,1,0,34300170,86411897
1,1,3,15,46,2,2,2,55,1,0,33201442,87560241
1,1,8,17,10,1,2,2,45,1,2,33485254,86410764
1,1,9,12,22,3,5,4,70,1,0,33193574,86465381
1,1,10,12,20,1,1,4,55,1,0,31585935,88172475
1,1,11,6,50,1,1,2,45,1,0,34470202,86514977
1,1,11,17,40,2,3,2,45,1,0,32490763,86340316
1,1,12,15,0,1,2,2,45,2,0,34441134,87314479
1,1,13,10,30,1,1,2,40,1,0,32404629,86255441
1,1,13,12,45,1,1,2,25,1,0,31545057,88183872
1,1,4,5,45,2,2,2,55,1,0,31104737,87274965
1,1,13,15,30,2,3,2,45,1,0,34153157,88071609
1,1,4,6,5,3,3,3,70,1,0,33194555,87023294
1,1,14,23,24,2,2,2,70,1,1,32225304,86003272
1,1,14,1,55,1,1,2,45,1,1,34401610,87403674
1,1,14,23,40,1,1,2,55,1,0,31302434,85593865
1,1,14,21,10,1,2,2,65,1,1,32420697,85313370
1,1,15,8,15,3,4,2,45,1,0,31121454,85185784
1,1,15,12,25,2,3,2,55,1,0,33371573,87090809
1,1,5,6,0,1,1,3,70,1,0,32522499,86364973
1,1,16,20,20,2,2,2,55,1,0,32220638,85053617
1,1,17,5,25,2,5,2,50,1,0,30552212,88015459
1,1,17,7,0,1,1,2,45,1,0,34292839,86534489
1,1,5,20,5,2,2,2,55,1,1,34182954,86535757
1,1,6,14,0,1,1,2,45,1,0,32054912,85304051
1,1,6,22,38,1,1,2,45,1,0,31390992,86254769
1,1,26,23,45,1,3,4,70,1,1,32575879,87484559
1,1,26,19,17,2,4,2,60,1,0,32193060,85092834
1,1,26,11,30,2,2,2,55,1,0,34251829,86425271
1,1,6,2,30,1,3,3,70,1,0,30360438,88090400
1,1,27,10,25,1,1,2,55,1,0,33480714,87340247
1,1,28,23,10,1,1,2,55,1,0,34370326,85590260
1,1,31,13,0,1,1,2,45,1,0,34280343,86585739
1,1,18,23,30,1,2,2,45,1,1,34373736,87204328
1,1,19,22,43,1,1,2,45,1,1,32291905,86033095
1,1,20,17,35,1,4,2,45,1,0,32360579,86122602
1,1,20,20,20,1,5,2,45,1,1,30424045,88155514
1,2,1,17,50,1,2,2,50,1,1,34370937,87011691
1,1,29,11,50,3,3,2,45,1,0,33150364,87080222
1,1,21,7,45,1,1,2,55,1,0,33184257,87381373
1,1,24,5,55,1,2,3,70,1,0,33371350,85375753
1,1,24,17,15,1,5,2,35,1,0,34322028,85414945
1,2,1,2,15,1,1,2,55,1,0,33575152,87202808
1,2,1,7,25,1,1,2,55,1,0,33424764,87155466
1,1,24,15,45,2,2,2,55,1,0,30272857,87443257
1,1,25,15,25,1,1,2,45,1,0,33074417,87471744
1,2,10,6,30,2,2,3,70,1,0,33533936,86144405
1,2,10,12,20,2,2,2,55,2,0,33442484,88114470
1,2,11,18,9,2,4,2,45,1,0,32302734,86222606
1,2,15,11,8,1,1,2,35,1,0,33215062,87394184
1,2,16,18,0,2,3,2,65,2,0,32141125,86073607
1,2,16,8,20,1,2,3,70,1,1,32543520,87523454
1,1,4,5,45,3,3,2,55,1,0,33312180,87033974
1,1,11,7,51,2,4,2,65,1,0,34412750,86211112
1,1,31,0,20,1,2,2,55,1,1,33551401,86555991
1,2,4,21,10,2,5,2,55,5,1,32334941,87314172
1,2,4,4,30,1,3,2,65,2,0,31483682,87451116
1,2,5,12,0,2,2,2,35,1,0,33345337,85505710
1,2,3,22,40,1,2,2,35,1,1,33233435,87012926
1,2,2,8,0,1,1,2,40,1,0,31010740,87391430
1,2,4,0,30,1,1,2,55,1,0,30493571,88154786
1,2,4,6,15,1,2,2,45,1,1,31081021,88050017
1,2,3,8,10,1,3,2,55,1,0,34153301,86230037
1,2,3,8,45,1,2,2,45,1,1,32314636,86075202
1,2,11,14,40,2,5,4,70,2,0,33232086,86591085
1,2,19,3,59,1,3,2,65,3,0,30434110,88071199
1,2,20,15,54,1,2,2,25,1,0,30413797,88034026
1,2,24,2,25,1,1,2,70,1,0,33265736,86571940
1,3,1,18,48,1,2,2,40,1,1,30422308,88071827
1,3,2,11,40,1,1,4,40,1,0,30422822,88072620
1,3,4,11,56,1,1,2,35,1,0,30415393,88033750
1,2,6,19,10,1,1,2,45,1,1,34502442,86495421
1,2,7,2,30,2,2,5,55,1,0,31384262,85483633
1,2,7,15,30,1,1,4,65,1,0,33515202,86331022
1,2,8,7,45,2,2,2,45,1,0,34515895,87453212
1,2,8,5,40,1,8,2,45,4,0,32534836,86412781
1,2,8,7,45,1,1,2,55,1,0,33154275,86265622
1,2,9,15,45,2,3,2,55,1,1,32070232,87595889
1,2,9,22,0,1,1,2,45,1,1,32315318,85391774
1,2,16,8,25,2,3,2,70,1,0,33103788,87230538
1,2,18,11,0,1,1,2,55,1,0,31173566,87342078
1,2,19,15,10,2,2,2,55,1,0,33310109,86085331
1,2,19,3,30,1,1,2,45,1,0,33515033,87240526
1,2,19,12,30,1,3,2,55,1,0,31581241,87041515
1,2,19,11,15,1,1,2,45,1,0,34183666,86533348
1,2,19,19,30,1,1,2,70,1,0,31530976,86362812
1,2,21,9,10,2,2,2,45,1,0,31370003,85094618
1,2,22,18,30,1,1,2,55,1,0,33553306,86481697
1,2,23,16,28,1,1,2,55,1,0,31255145,86103625
1,2,23,22,40,1,2,2,45,1,1,32023909,85571459
1,2,24,3,0,1,1,1,25,1,0,33552248,87370679
1,2,24,5,0,1,1,2,35,1,1,34041096,85544626
1,2,24,12,32,1,1,2,45,1,1,32172780,85171439
1,2,26,8,30,2,3,2,40,1,0,34473825,86445686
1,2,27,3,0,1,1,2,45,1,0,34333422,85431324
1,3,1,15,0,2,3,4,55,2,1,31205230,86323099
1,3,1,12,40,1,1,2,45,1,0,33160230,88083615
1,3,7,20,35,1,1,2,70,1,0,33150188,87075524
1,3,9,11,20,2,4,2,55,1,0,34115358,86465413
1,2,2,15,26,2,2,2,99,1,0,30431183,88085790
1,1,5,16,45,2,3,3,70,1,0,34411007,86434193
1,1,5,16,17,1,1,2,25,1,0,31322624,87212599
1,1,11,20,0,1,1,2,35,1,1,31175924,85201365
1,1,12,5,12,1,1,2,40,1,0,33170986,86532127
1,1,13,23,40,1,3,2,45,1,1,33353295,86511759
1,1,15,6,20,1,2,2,35,1,0,32532961,85244096
1,1,21,17,45,1,1,4,45,1,0,30361574,88043348
1,1,25,18,17,1,1,2,35,1,0,33111943,87340441
1,2,2,3,7,1,1,2,60,1,0,33311124,86495327
1,2,3,20,35,1,2,4,40,1,0,30401143,88060969
1,2,5,12,14,1,1,2,65,1,0,31231600,85344707
1,2,5,13,38,1,1,2,65,1,0,34451329,86341725
1,2,9,21,7,1,2,4,35,1,1,32273781,86213673
1,2,28,18,58,2,2,3,70,1,0,33203010,86534398
1,2,15,23,8,1,1,4,35,1,1,30392257,88083715
1,2,12,13,47,2,3,2,50,1,0,34212299,86005312
1,2,16,18,37,1,3,2,25,1,0,32544723,86424764
1,2,17,18,40,1,2,2,25,1,1,30393843,88042530
1,2,25,20,45,2,3,4,60,1,0,33345060,86423086
1,2,25,16,45,1,3,2,45,2,0,33460855,87003837
1,3,19,10,45,1,2,4,30,1,0,33300024,86510994
1,3,17,12,40,2,5,3,50,1,0,30370685,88092503
1,3,15,22,52,1,2,2,55,1,1,30472025,88123161
1,3,13,11,42,2,2,2,40,1,1,33471762,86411006
1,3,13,15,13,1,2,2,45,2,0,33454388,86041464
1,3,12,9,5,2,4,4,35,1,0,30411340,88042501
1,3,11,19,40,1,2,4,99,1,0,30420154,88024015
1,3,10,2,10,1,1,2,60,1,0,33311134,86493301
1,3,7,18,38,2,3,2,45,1,0,33170037,87312350
1,3,6,22,58,1,1,2,45,1,0,33391694,86384904
1,3,23,19,17,3,3,6,45,1,2,33341709,86470361
1,3,23,16,11,1,2,2,70,1,0,32391275,85204540
1,3,24,17,11,2,4,4,45,1,0,34512743,87323112
1,3,28,5,40,1,2,2,35,1,0,33380673,86394274
1,3,30,23,21,1,2,3,45,1,0,33123079,87342014
1,3,31,4,23,1,3,2,30,1,1,32212828,86195784
1,4,30,4,0,1,2,4,35,1,0,30423497,88043540
1,4,4,15,35,2,3,2,30,1,0,33360212,86390511
1,1,2,15,16,2,5,4,65,1,0,32252056,85022411
1,1,21,20,15,1,1,2,45,1,0,33330730,87002448
1,1,5,2,15,2,2,2,40,1,1,32244192,86092291
1,2,7,17,25,2,5,4,65,1,0,33012899,87190568
1,2,8,8,20,2,2,4,40,1,0,32290320,85015344
1,2,9,21,10,1,2,2,35,1,1,30274809,87475264
1,2,11,10,5,1,3,2,65,1,0,32395348,85282321
1,2,16,4,30,1,2,2,55,2,1,32454107,87443029
1,2,17,18,17,1,4,4,35,1,0,33121985,87315927
1,2,18,22,5,1,3,2,55,1,0,30491127,88210438
1,2,19,11,35,2,2,3,70,1,0,33313075,86394414
1,2,21,14,50,4,5,4,70,3,0,33393532,85233721
1,2,22,21,9,1,2,2,45,1,1,31181813,86295740
1,2,23,22,30,1,2,2,35,1,0,30495471,88165897
1,2,24,4,0,1,1,2,55,1,0,33161062,87365078
1,2,26,0,49,1,2,2,55,2,1,31005983,87330568
1,2,26,20,30,1,1,2,55,1,0,32055507,85483690
1,2,26,7,45,2,2,2,55,1,0,30550264,87472514
1,2,27,15,15,2,4,2,50,1,0,34412112,85474301
1,2,28,22,57,1,2,2,55,2,1,34015406,85585074
1,1,30,11,30,1,2,4,65,1,0,33065399,87283138
1,3,1,5,20,3,4,4,55,1,0,33561560,86232425
1,3,1,7,5,1,2,2,65,1,1,33534315,86310163
1,3,2,21,32,2,8,4,65,1,0,32162277,86101834
1,3,3,4,10,1,1,4,40,1,0,33305127,86504034
1,3,7,23,24,2,2,2,35,1,0,33394942,85493585
1,3,7,2,1,1,2,2,30,1,0,30242659,87405056
1,3,8,15,25,2,3,4,40,1,0,33292410,86502242
1,3,9,21,10,1,2,2,55,1,0,34402175,86123682
1,3,9,13,20,1,1,2,55,1,0,33550860,85544910
1,3,10,13,25,2,3,4,65,2,1,33482734,87083110
1,3,10,16,20,2,5,4,70,2,0,34043461,86515830
1,3,10,23,45,1,2,2,35,1,0,34564551,87295881
1,3,11,1,5,2,3,2,55,1,1,33302818,87384186
1,3,11,4,30,1,1,2,55,1,0,31413345,88023366
1,3,11,3,15,1,1,2,55,1,1,32333588,85484017
1,3,12,5,25,1,1,2,70,1,1,32462128,86340046
1,3,13,17,5,2,3,2,65,1,0,33131870,86191322
1,3,14,13,35,2,3,2,55,1,0,34105617,85382373
1,3,15,9,30,2,3,2,55,1,0,32570008,87372449
1,3,15,11,0,2,3,2,55,1,0,34390306,85563460
1,3,16,15,0,1,1,2,45,1,0,34395464,86503690
1,3,17,22,50,1,1,2,55,1,1,31192904,86011519
1,3,17,20,45,2,2,2,40,1,0,33194717,85273766
1,3,17,13,50,2,2,2,35,1,0,33575758,85515865
1,3,18,12,25,1,1,2,55,1,0,33441093,87573752
1,3,20,5,40,2,2,2,55,1,0,32531255,86401392
1,3,20,19,30,2,5,4,55,1,0,30325182,88102857
1,3,21,10,25,1,1,2,40,1,0,31433429,87142308
1,3,22,21,54,1,1,2,45,1,0,33213589,85233980
1,3,23,8,22,2,6,2,55,1,0,31152709,85135996
1,3,23,22,55,1,2,2,45,1,1,31231261,85380710
1,3,23,14,0,2,3,2,55,2,0,30591399,87373279
1,3,24,11,15,2,2,2,45,1,0,33485752,86590038
1,3,24,1,0,1,1,2,55,1,1,32483715,85471507
1,3,24,9,40,2,2,2,55,1,1,31433401,87123711
1,3,24,23,55,1,1,2,45,1,0,33351533,86104257
1,3,25,18,10,2,3,2,25,1,1,32315916,85513848
1,3,26,15,56,1,2,2,45,1,1,30333974,88105292
1,3,26,6,30,4,6,2,55,1,1,32421033,86053494
1,3,28,13,40,2,3,4,70,1,1,32475424,85140169
1,3,28,5,20,2,2,2,45,1,0,34321238,86320525
1,3,29,13,10,1,1,2,55,1,0,32011057,87184669
1,3,30,1,30,1,1,2,55,1,1,31120338,87102743
1,3,30,11,15,1,1,2,55,1,0,32111406,85522313
1,3,30,19,30,2,10,2,40,3,0,32455283,86374013
1,3,30,7,10,1,1,2,45,1,0,34031625,85273452
1,3,31,11,35,3,4,4,70,1,0,30401095,88025238
